"50 pint Dehumidifier 4,500 Sq. ft High Humidity Large Rooms, or Basements, Cooper&Hunter",3RGN162MEN5Z,https://wrd.walmart.com/track?rdf=1&adUid=67d0fa6f-4b04-45d4-89cb-e9ee4d2ff6b8&plmt=sp-browse-middle~desktop~&tax=1072864_133032_1231459_112918&pltfm=desktop&eventST=click&pgId=1072864_133032_1231459_112918&spQs=m_2YQC7HtIf0Oqohqm6NlJfbLKCqmzBivvmLhcvPIOu9HIgKyt0PZrQdWQfib_Qu215kakvyjmv07LryXk8Mpu-fYSLZ4aavpz1g157xTUpRlbtoOTlk4i0dsyqIiMC-olZPyiEwdFoILjTAC4bdOjLKeYKudMtB1RkXWPoC8HQ&storeId=3081&pt=browse&pos=1&bt=1&mloc=sp-browse-middle&bkt=2478&rd=https%3A%2F%2Fwww.walmart.com%2Fip%2F50-pint-Dehumidifier-4-500-Sq-ft-High-Humidity-Large-Rooms-or-Basements-Cooper-Hunter%2F370321486%3Fathbdg%3DL1400&athbdg=L1400,$199.00,
"TACKLIFE Home Dehumidifiers 35 Pints For 3000 Sq. ft Room, Large Removal with Water Bucket & Continuous Drain Hose for Self-Draining, Ideal for Basement(38°F), Bedroom, Bathroom | TKD350",6F1H0SUE096Q,https://wrd.walmart.com/track?rdf=1&adUid=67d0fa6f-4b04-45d4-89cb-e9ee4d2ff6b8&plmt=sp-browse-middle~desktop~&tax=1072864_133032_1231459_112918&pltfm=desktop&eventST=click&pgId=1072864_133032_1231459_112918&spQs=2iIoF_rX22ObvlVPCQsuYhiORL4CCm7gcD11uKEDYNN16yHbvjO63m2gndBUr38Rd1toSfdCjrHs6jJMOqaRbuPYu_931LShx5TGZxKRFvkXUVCiU_JLHH0L__eOwicGqZyWSEskboVb5vxFDGtF4HcEDJ9IJeK1uKR4PlDmcoU&storeId=3081&pt=browse&pos=2&bt=1&mloc=sp-browse-middle&bkt=2478&rd=https%3A%2F%2Fwww.walmart.com%2Fip%2FTACKLIFE-Home-Dehumidifiers-35-Pints-For-3000-Sq-ft-Room-Large-Removal-Water-Bucket-Continuous-Drain-Hose-Self-Draining-Ideal-Basement-38-F-Bedroom-B%2F455059422%3Fathbdg%3DL1700&athbdg=L1700,$174.99,5 out of 5 Stars. 1 reviews
"Waykar 70 Pints Dehumidifier for Basement and Home with Drain Hose, Spaces up to 4500 Sq Ft, Removes 9 Gallons Moisture/Day, 1.18 Gallons Water Tank and Four Air Outlets",30VG1S754JKH,https://wrd.walmart.com/track?rdf=1&adUid=67d0fa6f-4b04-45d4-89cb-e9ee4d2ff6b8&plmt=sp-browse-middle~desktop~&tax=1072864_133032_1231459_112918&pltfm=desktop&eventST=click&pgId=1072864_133032_1231459_112918&spQs=Ev6TThKxqma-yCSk7qDxJH62udCmG_BXntrvtI6C0UOzikq0lmREYFcVsUQ-_88GrZ8inQiqI0149FUpIdxCUNG7BSUxeM1wdAMqTTssmTyjd8mXrauGFcVnXhlcd6LuO0HVaZforTzilqzpo1nTOBpEf-8TbVfOd6ye6iH_NeQ&storeId=3081&pt=browse&pos=3&bt=1&mloc=sp-browse-middle&bkt=2478&rd=https%3A%2F%2Fwww.walmart.com%2Fip%2FWaykar-70-Pints-Dehumidifier-Basement-Home-Drain-Hose-Spaces-4500-Sq-Ft-Removes-9-Gallons-Moisture-Day-1-18-Water-Tank-Four-Air-Outlets%2F346744009%3Fathbdg%3DL1700&athbdg=L1700,$259.99,5 out of 5 Stars. 668 reviews
ALROCKET 5-Pint Dehumidifier Portable and Ultra Quiet with Automatic Defrosting for Home 1000ML(2200 Cubic Feet),70C6MU9I6MLG,https://wrd.walmart.com/track?rdf=1&adUid=67d0fa6f-4b04-45d4-89cb-e9ee4d2ff6b8&plmt=sp-browse-middle~desktop~&tax=1072864_133032_1231459_112918&pltfm=desktop&eventST=click&pgId=1072864_133032_1231459_112918&spQs=wX7n3h6V6cVlaX5_XNGmdyoa4ppagp72SrQFTSgNA4Iu3i0szoVKynUPfFfQCPsGpY7wOT0mAJC5FdDsBSURER4YNT-pdLrGv0Ro6DNPhammZqcFLyAgYnJCS8E9xZlisNU1IpV2TnHpfsjF0HNcUPB7eqF2mS8r2rRJKhbLt1k&storeId=3081&pt=browse&pos=4&bt=1&mloc=sp-browse-middle&bkt=2478&rd=https%3A%2F%2Fwww.walmart.com%2Fip%2FALROCKET-5-Pint-Dehumidifier-Portable-and-Ultra-Quiet-with-Automatic-Defrosting-for-Home-1000ML-2200-Cubic-Feet%2F386190834%3Fathbdg%3DL1700&athbdg=L1700,$39.99,4.1 out of 5 Stars. 31 reviews
"GE Appliances 35 Pint Dehumidifier for Very Damp Rooms, Energy Star, ADEW35LZ, White",6Z22C6W2EKF4,/ip/GE-Appliances-35-Pint-Dehumidifier-for-Very-Damp-Rooms-Energy-Star-ADEW35LZ-White/309495300,$173.99,5 out of 5 Stars. 2 reviews
"Midea 50-Pint EnergyStar Smart Dehumidifier for Wet Rooms with Pump, Black, MAD50PS1WBL",352D9DXG50MS,/ip/Midea-50-Pint-EnergyStar-Smart-Dehumidifier-for-Wet-Rooms-with-Pump-Black-MAD50PS1WBL/609854141?athbdg=L1600,$249.00,4.4 out of 5 Stars. 97 reviews
"Midea 22-Pints Energy Star Smart Dehumidifier for Damp Rooms, White, MAD22S1WWT",1NQ8A2JY91FI,/ip/Midea-22-Pints-Energy-Star-Smart-Dehumidifier-for-Damp-Rooms-White-MAD22S1WWT/832213626?athbdg=L1600,$169.00,4.6 out of 5 Stars. 70 reviews
"GE 20 Pt Portable Dehumidifier for Damp Spaces, White, ADEW20LY",5O8M259GBAYX,/ip/GE-20-Pt-Portable-Dehumidifier-for-Damp-Spaces-White-ADEW20LY/586071492?athbdg=L1200,$172.00,4.6 out of 5 Stars. 697 reviews
"Midea 50-Pint EnergyStar Dehumidifier for Wet Rooms with Pump, MAD50P1ZWS",6YLJOI14DL8P,/ip/Midea-50-Pint-EnergyStar-Dehumidifier-for-Wet-Rooms-with-Pump-MAD50P1ZWS/183627460,$198.00,4.4 out of 5 Stars. 57 reviews
"Midea 35-Pint Energy Star Smart Dehumidifier for Very Damp Rooms, White, MAD35S1WWT",2DPKACM5JLVO,/ip/Midea-35-Pint-Energy-Star-Smart-Dehumidifier-for-Very-Damp-Rooms-White-MAD35S1WWT/963578864?athbdg=L1600,$213.00,4.6 out of 5 Stars. 65 reviews
