name,subcategory,category,product_id,url,price
SkinnyPop Popcorn,Snacks,Pantry,0085025100400,https://www.kroger.com/p/skinnypop-popcorn/0085025100400?fulfillment=PICKUP,3.29
Simple Truth Organic® Blue Corn Tortilla Chips,Snacks,Pantry,0001111086062,https://www.kroger.com/p/simple-truth-organic-blue-corn-tortilla-chips/0001111086062?fulfillment=PICKUP,2.99
Kettle Brand® Jalapeno Potato Chips,Snacks,Pantry,0008411411632,https://www.kroger.com/p/kettle-brand-jalapeno-potato-chips/0008411411632?fulfillment=PICKUP,3.19
Kettle Brand® Sea Salt Potato Chips,Snacks,Pantry,0008411410812,https://www.kroger.com/p/kettle-brand-sea-salt-potato-chips/0008411410812?fulfillment=PICKUP,3.19
Kettle Brand® Sea Salt Potato Chips Sharing Size,Snacks,Pantry,0008411403216,https://www.kroger.com/p/kettle-brand-sea-salt-potato-chips-sharing-size/0008411403216?fulfillment=PICKUP,3.50
Kettle® Brand Jalapeno Potato Chips,Snacks,Pantry,0008411412357,https://www.kroger.com/p/kettle-brand-jalapeno-potato-chips/0008411412357?fulfillment=PICKUP,3.50
Kettle® Brand Backyard Barbeque Potato Chips,Snacks,Pantry,0008411411391,https://www.kroger.com/p/kettle-brand-backyard-barbeque-potato-chips/0008411411391?fulfillment=PICKUP,3.19
SkinnyPop White Cheddar Popcorn,Snacks,Pantry,0085025100417,https://www.kroger.com/p/skinnypop-white-cheddar-popcorn/0085025100417?fulfillment=PICKUP,3.29
Sensible Portions® Sea Salt Garden Veggie Straws,Snacks,Pantry,0082951530200,https://www.kroger.com/p/sensible-portions-sea-salt-garden-veggie-straws/0082951530200?fulfillment=PICKUP,2.99
Popcorners® Sweet & Salty Kettle Corn Popped Corn Snacks,Snacks,Pantry,0081060702071,https://www.kroger.com/p/popcorners-sweet-salty-kettle-corn-popped-corn-snacks/0081060702071?fulfillment=PICKUP,4.29
Angie's® Boom Chicka Pop Caramel & Cheddar Popcorn Mix,Snacks,Pantry,0081878001149,https://www.kroger.com/p/angie-s-boom-chicka-pop-caramel-cheddar-popcorn-mix/0081878001149?fulfillment=PICKUP,3.00
PopCorners® White Cheddar Cheese Popped-Corn Snack,Snacks,Pantry,0081060702069,https://www.kroger.com/p/popcorners-white-cheddar-cheese-popped-corn-snack/0081060702069?fulfillment=PICKUP,4.29
Simple Truth® Walnut Halves & Pieces,Snacks,Pantry,0001111002469,https://www.kroger.com/p/simple-truth-walnut-halves-pieces/0001111002469?fulfillment=PICKUP,7.99
Simple Truth Organic® Gluten Free White Corn Tortilla Chips,Snacks,Pantry,0001111086066,https://www.kroger.com/p/simple-truth-organic-gluten-free-white-corn-tortilla-chips/0001111086066?fulfillment=PICKUP,2.99
Cheez-It Cheese Crackers Original,Snacks,Pantry,0002410094059,https://www.kroger.com/p/cheez-it-cheese-crackers-original/0002410094059?fulfillment=PICKUP,10.49
SkinnyPop Original Popcorn Skinny Pack,Snacks,Pantry,0085025100402,https://www.kroger.com/p/skinnypop-original-popcorn-skinny-pack/0085025100402?fulfillment=PICKUP,5.99
Angie's® BOOMCHICKAPOP® Sweet & Salty Kettle Corn,Snacks,Pantry,0081878001193,https://www.kroger.com/p/angie-s-boomchickapop-sweet-salty-kettle-corn/0081878001193?fulfillment=PICKUP,3.00
Sensible Portions Garden Veggie Straws Zesty Ranch Vegetable and Potato Snacks,Snacks,Pantry,0082951530717,https://www.kroger.com/p/sensible-portions-garden-veggie-straws-zesty-ranch-vegetable-and-potato-snacks/0082951530717?fulfillment=PICKUP,2.99
Orville Redenbacher's Mini Smart Pop Butter Popcorn Snack Bags,Snacks,Pantry,0002700062318,https://www.kroger.com/p/orville-redenbacher-s-mini-smart-pop-butter-popcorn-snack-bags/0002700062318?fulfillment=PICKUP,
Simple Truth® Raw Almonds,Snacks,Pantry,0001111002466,https://www.kroger.com/p/simple-truth-raw-almonds/0001111002466?fulfillment=PICKUP,6.49
Simple Truth Organic Yellow Corn Tortilla Chips,Snacks,Pantry,0001111086005,https://www.kroger.com/p/simple-truth-organic-yellow-corn-tortilla-chips/0001111086005?fulfillment=PICKUP,2.99
PopCorners® Sea Salt Popped Corn Snacks,Snacks,Pantry,0081060702070,https://www.kroger.com/p/popcorners-sea-salt-popped-corn-snacks/0081060702070?fulfillment=PICKUP,4.29
Frito Lay® Mega Size Classic Mix Snacks,Snacks,Pantry,0002840069435,https://www.kroger.com/p/frito-lay-mega-size-classic-mix-snacks/0002840069435?fulfillment=PICKUP,19.99
Jell-O® Chocolate Ready-to-Eat Pudding Snack Cups,Snacks,Pantry,0004300004209,https://www.kroger.com/p/jell-o-chocolate-ready-to-eat-pudding-snack-cups/0004300004209?fulfillment=PICKUP,2.79
Cheetos® Simply™ Crunchy White Cheddar Cheese Snacks,Snacks,Pantry,0002840017181,https://www.kroger.com/p/cheetos-simply-crunchy-white-cheddar-cheese-snacks/0002840017181?fulfillment=PICKUP,3.99
Jell-O Chocolate Sugar Free Pudding Cups Snack,Snacks,Pantry,0004300004208,https://www.kroger.com/p/jell-o-chocolate-sugar-free-pudding-cups-snack/0004300004208?fulfillment=PICKUP,2.79
Garden of Eatin'® Blue Corn Tortilla Chips,Snacks,Pantry,0001583900871,https://www.kroger.com/p/garden-of-eatin-blue-corn-tortilla-chips/0001583900871?fulfillment=PICKUP,3.00
